Creation_Date;Index_Symbol;Index_Name;Index ISIN;Internal_Key;ISIN;RIC;Instrument_Name;Country;Currency;Exchange;Index Membership;Rank (FINAL);Rank (PREVIOUS);Comment;Rank 2 (FINAL);Rank 2 (PREVIOUS)
20260601;SXXP;STOXX Europe 600;EU0009658202;FR90CR;;VIRI.PA;VIRIDIEN;FR;EUR;Euronext Paris;;949;884;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;B00FPT;;CSN.L;CHESNARA;GB;GBP;London SE;;950;947;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;307428;;RCOP.PA;REMY COINTREAU;FR;EUR;Euronext Paris;;951;940;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;GB1EJP;;DSCV.L;DISCOVERIE GROUP;GB;GBP;London SE;;952;995;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;B1YY66;;ALM.MC;ALMIRALL;ES;EUR;BME Exchange;;953;913;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;FR704H;;DBV.PA;DBV TECHNOLOGIES;FR;EUR;Euronext Paris;;954;1056;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;CH90CE;;COPN.S;COSMO;CH;CHF;Six Swiss Exchange;;955;927;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;SE149K;;SDIPb.ST;SDIPTECH;SE;SEK;NASDAQ Stockholm;;956;963;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;DE13YT;;TPEG.DE;PVA TEPLA;DE;EUR;XETRA;;957;1005;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;GB402X;;TEP.L;TELECOM PLUS;GB;GBP;London SE;;958;900;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;GB50XT;;RPI.L;RASPBERRY PI HOLDINGS;GB;GBP;London SE;;959;1049;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;AT503B;;ABGV.VI;PORR;AT;EUR;Wiener Boerse AG;;960;953;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;596464;;SANOMA.HE;SANOMA;FI;EUR;NASDAQ Helsinki;;961;945;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;NO909T;;MPCC.OL;MPC CONTAINER SHIPS;NO;NOK;Oslo Bors;;962;992;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;ES702F;;HOME.MC;NEINOR HOMES S.A.U.;ES;EUR;BME Exchange;;963;938;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;GB20OH;;DOM.L;DOMINOS PIZZA GROUP;GB;GBP;London SE;;964;965;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;FR40CM;;PLX.PA;PLUXEE;FR;EUR;Euronext Paris;;965;912;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;EB402;;JUP.L;JUPITER FUND MANAGEMENT;GB;GBP;London SE;;966;948;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;465568;;OERL.S;OC OERLIKON;CH;CHF;Six Swiss Exchange;;967;996;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;435003;;FORN.S;FORBO 'R';CH;CHF;Six Swiss Exchange;;968;942;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;NL122D;;PHAR.AS;PHARMING GROUP;NL;EUR;Euronext Amsterdam;;969;894;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;SE20MU;;MILDEF.ST;MILDEF GROUP;SE;SEK;NASDAQ Stockholm;;970;985;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;076680;;CBRO.L;CLOSE BROTHERS GRP;GB;GBP;London SE;;971;967;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;CH5086;;VAHN.S;VAUDOISE 'B';CH;CHF;Six Swiss Exchange;;972;957;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;DE35UT;;TNIE.DE;TONIES;DE;EUR;XETRA;;973;991;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;568104;;CAIV.VI;CA IMMOBILIEN ANLAGEN;AT;EUR;Wiener Boerse AG;;974;958;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;SE905K;;NEWAb.ST;NEW WAVE GROUP B;SE;SEK;NASDAQ Stockholm;;975;975;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;NO90J3;;SATSS.OL;SATS ASA;NO;NOK;Oslo Bors;;976;971;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;B1FQQK;;VBKG.DE;VERBIO;DE;EUR;XETRA;;977;960;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;FR50DO;;ATOS.PA;ATOS;FR;EUR;Euronext Paris;;978;1035;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;DE13SN;;DRWG_p.DE;DRAEGERWERK PREF.;DE;EUR;XETRA;;979;969;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;GB9066;;BAG.L;BARR (AG);GB;GBP;London SE;;980;986;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;NL405H;;HAVAS.AS;HAVAS;NL;EUR;Euronext Amsterdam;;981;983;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;445776;;IMTP.PA;IMERYS;FR;EUR;Euronext Paris;;982;980;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;SE504F;;HOFI.ST;HOIST FINANCE AB;SE;SEK;NASDAQ Stockholm;;983;1041;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;SE10X4;;HEM.ST;HEMNET;SE;SEK;NASDAQ Stockholm;;984;918;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;NO208L;;NORBT.OL;NORBIT;NO;NOK;Oslo Bors;;985;919;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;FR0028;;ARGAN.PA;ARGAN;FR;EUR;Euronext Paris;;986;974;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;NO10FR;;WWI.OL;WILH WILHELMSEN HLDG A;NO;NOK;Oslo Bors;;987;984;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;GB10SK;;MOONM.L;MOONPIG GROUP;GB;GBP;London SE;;988;981;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;BE8063;;SHUR.BR;SHURGARD SELF STORAGE;BE;EUR;Euronext Brussels;;989;950;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;FI0041;;HARVIA.HE;HARVIA;FI;EUR;NASDAQ Helsinki;;990;1021;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;447889;;HTG.L;HUNTING;GB;GBP;London SE;;991;956;;;
